,Unnamed: 0,first_name1,middle_name1,last_name1,first_name2,middle_name2,last_name2,first_name_status,middle_name_status,last_name_status,matched
0,0,chih-ping,,tso,chih-ping,,tso,1,0,1,1
1,1,terry,,winograd,terry,,winograd,1,0,1,1
2,2,walter,,suchon,walter,,suchon,1,0,1,1
3,3,chryssostomos,,chryssostomidis,chryssostomos,,chryssostomidis,1,0,1,1
4,4,edmund,francis,kelly,edmund,aloysius,kelly,1,0,1,1
5,5,peter,joseph,palmer,peter,joseph,palmer,1,1,1,1
6,6,satyaki,,basu,satyaki,,basu,1,0,1,1
7,7,enrique,l.,kilayko,enrique,,kilayko,1,0,1,1
8,8,alfred,i.,raff,alfred,israel,raff,1,0,1,1
9,9,anton,keats,simson,anton,keats,simson,1,1,1,1
10,10,johannes,philipp,holschneider,johannes,philipp,holschneider,1,1,1,1
11,11,moss,eisenberg,sweedler,moss,eisenberg,sweedler,1,1,1,1
12,12,,,,aly,mahmoud,el-shiekh,0,0,0,0
13,13,,,,calvin,fred,opitz,0,0,0,0
14,14,ary,m.,pedju,ary,mochtar,pedju,1,0,1,1
15,15,james,robert,bonar,james,robert,bonar,1,1,1,1
16,16,gerald,,gruber,gerald,,gruber,1,0,1,1
17,17,,,,robert,hamilton,cannon,0,0,0,0
18,18,gerhardt,c.,clementson,gerhardt,christopher,clementson,1,0,1,1
19,19,george,,nez,george,,nez,1,0,1,1
20,20,charles,winfred,washburn,charles,winfred,washburn,1,1,1,1
21,21,,,,douglas,s,powell,0,0,0,0
22,22,frederick,h.,reuter,frederick,h,reuter,1,0,1,1
23,23,thesis,,supervisor,alan,,stenning,0,0,0,0
24,24,paul,r.,paslay,paul,r,paslay,1,0,1,1
25,25,watt,wetmore,webb,1927-,,webb,0,0,1,0
26,26,thomas,a.,reiner,1931-,,reiner,0,0,1,0
27,27,visvaldis,,paukulis,vivaldis,,paukulis,0,0,1,0
28,28,richard,m.,horowitz,richard,m,horowitz,1,0,1,1
29,29,harold,winfield,wyckoff,harold,w,wyckoff,1,0,1,1
30,30,,,,norman,keith,scott,0,0,0,0
31,31,george,barwick,wilmot,george,barwick,wilmot,1,1,1,1
32,32,thesis,,supervisor,richard,h,lyon,0,0,0,0
33,33,,,,robert,edward,coughlin,0,0,0,0
34,34,robert,lee,jeffcoat,robert,lee,jeffcoat,1,1,1,1
35,35,eric,hershler,bott,eric,herschler,bott,1,0,1,1
36,36,alberto,,azuma,alberto,,azuma,1,0,1,1
37,37,octavio,maizza,neto,octavio,,maizza neto,1,0,0,0
38,38,leon,gardner,shiman,leon,gardner,shiman,1,1,1,1
39,39,steven,c.,hayes,steven,coburn,hayes,1,0,1,1
40,40,william,harold,soupcoff,william,harold,soupcoff,1,1,1,1
41,41,david,,cylkowskt,david,,cylkowski,1,0,0,0
42,42,vivian,ellen,loftness,vivian,ellen,loftness,1,1,1,1
43,43,sanford,j.,neuhaus,sanford,j,neuhaus,1,0,1,1
44,44,hsin-min,,chen,xinmin,,chen,0,0,1,0
45,45,,,,1918-,,gangnes,0,0,0,0
46,46,archie,allan,stone,archie,allan,stone,1,1,1,1
47,47,richard,y.,newton,richard,y,newton,1,0,1,1
48,48,stephen,harry,crandall,stephen,h,crandall,1,0,1,1
49,49,viggo,e.,maack,viggo,e,maack,1,0,1,1
50,50,james,a.,holmes,james,.,holmes,1,0,1,1
51,51,kenneth,l.,kienas,henry,van tuyl,cotter,0,0,0,0
52,52,margaret,mary,sheridan,melissa,clare,connaway,0,0,0,0
53,53,richard,j.fenchak,,claire,elaine,crutchley,0,0,0,0
54,54,john,william,hellgeth,sterling,.,marshall,0,0,0,0
55,55,walid,khaled,eid,mohammad,ali,saed,0,0,0,0
56,56,mutasim,fuad,baba,bruce,shiu-leung,tang,0,0,0,0
57,57,thomas,a.,dingus,james,richard,mckenna,0,0,0,0
58,58,mickey,e.,gunter,joanna,.,grymes,0,0,0,0
59,59,henry,,van tuyl cotter,,.,randall,0,0,0,0
60,60,melissa,clare,connaway,doron,,shalev,0,0,0,0
61,61,claire,elaine,crutchley,kenneth,lee,kienas,0,0,0,0
62,62,sterling,i.,marshall,robert,nicholas,antenucci,0,0,0,0
63,63,mohammad,ali,saed,lena,,hall,0,0,0,0
64,64,bruce,s.,tang,brian,victor,bredenkamp,0,0,0,0
65,65,james,r.,mckenna,ronald,eugene,hawkins,0,0,0,0
66,66,joanna,m.,grymes,lin-ying,,lai,0,0,0,0
67,67,,,,william,.,yurochko,0,0,0,0
68,68,doron,,shalev,helene,sarah,aiello,0,0,0,0
69,69,robert,nicholas,antenucci,beryle,crockett,santon,0,0,0,0
70,70,lena,,hall,,.,clemons,0,0,0,0
71,71,brian,victor,bredenkamp,ann,marie,hellstern,0,0,0,0
