,extracted_year,year,year_status
0,1970,1970,1
1,1970,1970,1
2,1970,1970,1
3,1970,1970,1
4,1970,1970,1
5,1970,1970,1
6,1959,1960,0
7,1960,1960,1
8,1960,1960,1
9,1960,1960,1
10,0,1960,0
11,1965,1965,1
12,1965,1965,1
13,1965,1965,1
14,1965,1965,1
15,1965,1965,1
16,1964,1965,0
17,0,1950,0
18,0,1950,0
19,0,1950,0
20,0,1950,0
21,0,1950,0
22,0,1950,0
23,1955,1955,1
24,0,1955,0
25,0,1955,0
26,1955,1955,1
27,0,1955,0
28,0,1955,0
29,1955,1955,1
30,0,1955,0
31,0,1955,0
32,1955,1955,1
33,1955,1955,1
34,1975,1975,1
35,1975,1975,1
36,0,1975,0
37,1974,1975,0
38,1975,1975,1
39,1975,1975,1
40,1975,1975,1
41,1975,1975,1
42,1975,1975,1
43,1945,1945,1
44,0,1945,0
45,0,1946,0
46,1946,1946,1
47,0,1946,0
48,0,1946,0
49,1946,1947,0
50,1986,1986,1
51,1986,1986,1
52,1985,1986,0
53,1986,1986,1
54,1986,1986,1
55,1987,1987,1
56,1987,1987,1
57,1987,1987,1
58,1987,1987,1
59,1987,1987,1
60,1987,1987,1
61,1987,1987,1
62,1986,1987,0
63,0,1987,0
64,1988,1988,1
65,0,1988,0
66,1988,1988,1
67,1988,1988,1
68,1988,1988,1
69,1988,1988,1
70,1988,1988,1
71,0,1988,0
72,1988,1988,1
73,1988,1988,1
74,1988,1988,1
75,0,1988,0
76,1988,1988,1
77,1988,1988,1
78,0,1989,0
79,1989,1989,1
80,1989,1989,1
81,0,1989,0
82,1989,1989,1
83,1989,1989,1
84,1989,1989,1
85,1988,1989,0
86,1989,1989,1
87,0,1989,0
88,0,1989,0
89,0,1990,0
90,1990,1990,1
91,1990,1990,1
92,1990,1990,1
93,1990,1990,1
94,1990,1990,1
95,1990,1990,1
96,1990,1990,1
97,1990,1990,1
98,1990,1990,1
99,1990,1990,1
100,0,1970,0
101,1969,1970,0
102,0,1970,0
103,0,1970,0
104,1969,1970,0
105,1970,1970,1
106,1970,1970,1
107,0,1970,0
108,0,1970,0
109,0,1970,0
110,0,1970,0
111,0,1970,0
112,0,1970,0
113,0,1970,0
114,0,1970,0
115,0,1970,0
116,0,1970,0
117,1970,1970,1
118,1970,1970,1
119,0,1970,0
120,0,1970,0
121,0,1970,0
122,0,1970,0
123,0,1970,0
124,0,1970,0
125,0,1970,0
126,0,1970,0
127,0,1970,0
128,0,1970,0
129,0,1970,0
130,0,1970,0
131,0,1970,0
132,0,1970,0
133,0,1970,0
134,0,1970,0
135,0,1970,0
136,0,1970,0
137,1970,1970,1
138,1970,1970,1
139,1969,1970,0
140,1970,1970,1
141,1969,1970,0
142,1969,1970,0
143,1970,1970,1
144,1970,1970,1
145,1970,1970,1
146,1969,1970,0
147,1969,1970,0
148,1969,1970,0
149,1970,1970,1
150,1970,1970,1
151,1970,1970,1
152,1970,1970,1
153,1970,1970,1
154,1970,1970,1
155,1970,1970,1
156,1970,1970,1
157,0,1970,0
158,0,1970,0
159,0,1970,0
160,0,1970,0
161,0,1970,0
162,0,1970,0
163,0,1970,0
164,0,1970,0
165,1970,1970,1
166,0,1970,0
167,0,1970,0
168,0,1970,0
169,0,1970,0
170,0,1970,0
171,0,1970,0
172,0,1970,0
173,0,1970,0
174,0,1970,0
175,0,1970,0
176,0,1970,0
177,0,1970,0
